artist,song,link,text
Don Henley,I Will Not Go Quietly,/d/don+henley/i+will+not+go+quietly_20042035.html,"Woke up with a heavy head  
And I thought about leavin' town  
I could have died if I wanted to  
Slipped over the edge and drowned  
But, oh no baby, I won't give up that easy, no  
  
Too many tire tracks in the sands of time  
Too many love affairs that stop on a dime  
Oh well, oh baby  
I think it's time to make some changes 'round here  
  
Yeah, I'm gonna tear it up  
Gonna trash it up  
I'm gonna round it up  
Gonna shake it up  
Oh, no, baby, I will not lie down  
  
I'm brave enough to be crazy  
I'm strong enough to be weak  
I see all these heroes with feet of clay  
Whose mighty ships have sprung a leak  
And I want you to tell me darlin'  
Just what do you believe in now?  
  
Well, c'mon over here baby  
You 'bout to gimme a heart attack  
I want to wrap my lovin' arms  
Around the small of your back  
Yeah, and I'm gonna pull you, pull you, pull you  
Pull you right up close to me, yeah  
  
Yeah we're gonna tear it up  
We gonna trash it up  
Gonna round it up  
Gonna shake it up  
Oh, no no no, I will not lie down  
  
Turn this thing around  
I will not go quietly  
I will not lie down  
I will not go quietly  
I will not lie down  
I will not go quietly  
I will not lie down  
I will not lie down, no  
  
Well, don't you ever get lonely?  
Don't you ever get down?  
Don't you ever get tired of all the wicked tongues in this town?  
Of, baby, I just want to take you away from here  
  
I ain't no tiger  
I ain't no little lamb  
Suppose you tell me mama  
Who do you think I think I am?  
And ooh baby, don't you give a damn?  
  
Yeah, I'm gonna tear it up  
Gonna trash it up  
Gonna round it up  
Gonna rip it up  
I will not lie down  
  
Yeah I'm gonna tear it up  
Gonna trash it up  
Gonna round it up  
Gonna shake it up  
Oh baby, I will not lie down  
  
Turn this thing around  
I will not go quietly  
I will not lie down  
I will no go quietly  
I will not lie down  
I will not lie down

"
Avril Lavigne,I Love You,/a/avril+lavigne/i+love+you_20904298.html,"La, la  
la, la, la, la  
la, la  
la, la, la  
  
I like your smile  
I like your vibe  
I like your style  
But that's not why I love you  
And I, I like the way, you're such a star  
But that's not why I love you, hey  
  
Do you feel,  
do you feel me,  
do you feel what I feel too  
Do you need,  
do you need me,  
do you need me  
  
You're so beautiful  
But that's not why I love you  
I'm not sure you know  
That the reason I love you, is you  
  
Being you, just you  
yeah the reason I love you  
Is all that we've been through  
And that's why I love you  
  
La, la  
la, la, la, la  
la, la  
la, la, la  
  
I like the way you misbehave  
When we get wasted  
But that's not why I love you  
And how you keep your cool when I am complicated  
But that's not why I love you, hey  
  
Do you feel,  
do you feel me,  
do you feel what I feel too  
Do you need,  
do you need me,  
do you need me  
  
You're so beautiful  
But that's not why I love you  
And I'm not sure you know  
That the reason I love you, is you  
Being you, just you  
yeah the reason I love you  
Is all that we've been through  
And that's why I love you  
  
yeah, oh, oh, oh,  
oh, oh, oh, oh  
Even though we didn't make it through  
I am always here for you  
yeah,  
  
oh you're so beautiful  
But that's not why I love you  
I'm not sure you know  
That the reason I love you, is you  
Being you, just you  
now the reason I love you  
Is all that we've been through  
And that's why I love you  
  
La la, la la la la (oh, oh)  
La la, la la la la (that's why I love you)  
La la, la la la la (oh, oh)  
La la, la la la la (that's why I love you)

"
Hank Snow,I Wish It Was Mine,/h/hank+snow/i+wish+it+was+mine_20341638.html,"Somewhere a telephone is ringing right now  
Someone's old sweetheart is on the line  
She's calling to patch up an old love affair  
Oh I wish it was mine  
Somebody's writing a letter right now  
And saying Lawd oh I was blind  
Somebody's darling longs to come home  
Oh I wish it was mine  
But you never write me and you never phone  
There's somebody else on your mind  
And somebody's heart is glad you don't love me  
Oh I wish it was mine  
[ guitar ]  
But you never write me...  
(Oh I wish it was mine)  
  
  

"
Yolanda Adams,That Name,/y/yolanda+adams/that+name_20148815.html,"There is a name that is so precious,  
a name so wonderful to me.  
This name is worthy of all praises.  
Because of him, I am made free.  
That name is Jesus, oh how I love him.  
The one who gave, his life for me.  
Because of love, so unconditional,  
I will have life, eternally.  
  
This name speaks peace, unto my storm clouds,  
This name speaks calm, unto me fears.  
And when I feel, that no one loves me.  
His loving presence is so near.  
That name is Jesus, oh how I love him.  
The one who gave, his life for me.  
Because of love, so unconditional,  
I will have life, eternally.  
  
Praise that name!  
Praise that name!  
Praise that name!  
Praise that name!  
  
Someday I'll leave, this earthly dwelling,  
To find a place, my soul will soar.  
And finally see, the face of Jesus.  
And praise his name, forevermore!  
That name is Jesus, oh how I love him!  
The one who gave, his life for me!  
Because of love, so unconditional,  
I will have life, eternally.  
Excellent is that name!  
Glorious is that name!  
Wonderful is that name!  
Oh praise that name!

"
Fiona Apple,The Child Is Gone,/f/fiona+apple/the+child+is+gone_20053677.html,"Darling, give me your absence tonight  
Take the shade from the canvas  
And leave me the white  
Let me sink in the silence that echoes inside  
And don't bother leaving the light on  
'Cause I suddenly feel like a different person  
From the roots of my soul come a gentle coercion  
And I ran my hand o'er a strange inversion  
A vacancy that just did not belong  
The child is gone  
  
Honey help me out of this mess  
I'm a stranger to myself  
But don't reach for me, I'm too far away  
I don't want to talk 'cause there's nothing left to say  
  
So my darling  
Give me your absence tonight  
Take all of your sympathy and leave it outside  
'Cause there's no kind of loving  
That can make this all right  
I'm trying to find a place I belong  
And I suddenly feel like a different person  
From the roots of my soul come a gentle coercion  
And I ran my hand over a strange inversion  
As the darkness turns into the dawn  
The child is gone  
The child is gone

"
Norah Jones,Heart Of Mine,/n/norah+jones/heart+of+mine_20481092.html,"Heart of mine, be still  
You can play with fire but you'll get the bill  
Don't let him know, don't let him know that you love him  
Oh, don't be a fool, don't be blind heart of mine  
Heart of mine, go back home  
You've got no reason to wander, no reason to roam  
Don't let him see, don't let him see that you need him  
Oh, don't put yourself over the line heart of mine  
Heart of mine, go back where you've been  
The only trouble for you is if you let him in  
Don't let him hear, don't let him hear where you're going  
Oh, untie the ties that bind heart of mine  
Heart of mine so malicious and so full of guile  
I give you an inch and you take a mile  
Don't let yourself fall, don't let yourself stumble  
Oh, do the time, don't do the crime heart of mine  
Heart of mine  
Heart of mine  

"
"Harry Connick, Jr.",Yes We Can Can,/h/harry+connick+jr/yes+we+can+can_20820556.html,"Now is the time for all good men to get together with one another  
Iron out the problems and iron out their quarrels  
And try to live as brothers  
Try to find the peace within without stepping on one another  
Do respect the women of the world, just remember we all had mothers  
  
Make this land a better land  
Than the world in which we live  
And help each man be a better man  
With the kindness that we give  
  
I know we can make it, I know darn well we can work it out  
Yes, we can, I know we can can  
Yes, we can, can, why can't we? If we wanna, yes, we can, can  
I know we can make it work, I know we can make it, try  
Yes, we can, I know we can can, yes we can make lot of money  
Yes, we can, I know we can can  
  
Take care of all the children, the children of the world  
'Cause they're our strongest hope for the future  
The little bitty boys and girls  
  
Make this land a better land  
Than the world in which we live  
And help each man be a better man  
With the kindness that we give  
  
I know we can make it, I know darn well we can work it out  
Yes, we can, I know we can can  
Yes, we can, can, why can't we? If we wanna, yes, we can, can  
I know we can make it work, I know we can make it if we try  
Yes, we can, I know we can can, yes we can make lot of money  
Yes, we can, I know we can can  
  
Make this land a better land  
Than the world in which we live  
And help each man be a better man  
With the kindness that we give  
  
I know we can make it, I know darn well we can work it out  
Yes, we can, I know we can can  
Yes, we can, can, why can't we? If we wanna, yes, we can, can  
I know we can make it work, I know we can make it if we try  
Yes, we can, I know we can can, yes we can make lot of money  
Yes, we can, I know we can can  
  
Yes, we can, I know we can can  
Yes, we can can, why can't we? Yes, we can can  
Yes, we can, I know we can can  
Yes, we can can, why can't we? Yes, we can can  
  
Yes, we can, I know we can can  
Yes, we can can, why can't we? Yes, we can can  
Yes, we can, I know we can can  
Yes, we can can, why can't we? Yes, we can can, yes we can

"
Red Hot Chili Peppers,Love Trilogy,/r/red+hot+chili+peppers/love+trilogy_20114846.html,"My love comes, and when it does  
It's a crazy kind of  
Selective affection  
My love flows like a wise guy's tie  
In the zanniest of directions  
My love protection, my love erection  
You better get some of my infection  
My love can be-a-bigger than  
The hoover dam  
My love can hide behind  
A grain of sand  
My love for life is fueled by  
The love for my man  
I love his mother and  
The silly mystic man  
Some people think he's bad  
They say he doesn't laugh  
And ask my dad  
  
My love is death to apartheid rule  
My love is deepest depth, the ocean blues  
  
My love is the Zulu groove  
My love is keep it or move  
My love is a laughin' boozed  
My love is the pussy juice  
My love can't be refused  
My love is gettin' my food  
My love, my love  
  
My love began from love  
My love for an unknown grubby bum  
My love for the baby suckin' on his thumb  
My love for the best set of buns  
My love for the feel of the drums  
My love for a butter knuckle hands  
My love for the swedes in the bad  
My love for the legs that I spin  
My love for the fat mingy  
My love, my love  
My love is my gross inner self  
My love is my dick in my head  
My love is my gross inner self  
My love is my dick in my head

"
Maroon 5,Until You're Over Me,/m/maroon+5/until+youre+over+me_20600253.html,"This relationship is over,  
Though my stomach still hurts.  
And now I'm gonna live alone,  
Why is the pain much worse?  
You're so much better without makeup,  
Why would you hide your face?  
Don't want to spend the night and wake up,  
Realize I've made a big mistake.  
  
[Chorus]  
I can not refuse your eyes,  
Please don't look at me tonight.  
My heart beats fast I know you're there,  
And I pretend like I don't care.  
It hurts so bad to know the truth,  
But I am still in love with you.  
  
I never meant to keep you waiting,  
And now your food is getting cold,  
I keep denying I'm in love with you,  
My routine is getting old.  
And now you stand in front of the table,  
And say you never look back.  
Your super stupid when you're angry,  
You only wake up sad.  
  
[Chorus]  
  
It hurts too much to know the truth,  
But I am still in love with you.  
  
No more kisses on your lips, tender touch oh please,  
I'd rather die on my two feet than live down on my knees.  
And you're the girl to get me over what we start to be  
And I just cant get over you, and until you're over me.  
  
I can not refuse your eyes,  
Please don't look at me tonight.  
My heart beats fast I know you're there,  
And I pretend like I don't care.  
  
[Chorus]  
  
It hurts too much to know the truth,  
But I am still in love with you.

"
George Harrison,Can't Stop Thinking About You,/g/george+harrison/cant+stop+thinking+about+you_20059089.html,"Can't stop thinking about you  
Can't stop thinking about you  
Its no good living without you  
I can't stop thinking about you  
  
Can't stop thinking about you  
Can't stop thinking about you  
And it's no good living without you  
I can't stop thinking about you  
  
When the night-time comes around  
Daylight has left me, I  
I can't take it if I don't see you no more  
I can't help it, I need your loving so much more  
  
And I can't stop thinking about you  
Can't stop thinking about you  
And it's no good living without you  
I can't stop thinking about  
I can't stop thinking about  
I can't stop thinking about you, ooh  
  
Can't stop thinking about  
Can't stop thinking about  
Can't stop thinking about you  
  
When the morning comes around  
And the daylight gets to me, I  
I can't take it if I don't see you no more  
I can't help it, I need your loving so much more  
  
And I can't stop thinking about you, oh yeah  
I can't stop thinking about you  
And it's no good living without you  
I can't stop thinking about  
I can't stop thinking about  
I can't stop thinking about you  
  
I can't stop thinking about  
Can't stop thinking about  
Can't stop thinking about you  
  
(repeat and fade:)  
I can't stop thinking about  
I can't stop thinking about  
I can't stop thinking about you

"
Passenger,Intacto,/p/passenger/intacto_20990657.html,"Well if love is blind,  
Then home's where the heart is  
How we ever gonna get back where we started  
From now on, run with blindfolds  
Into the woods till the trees knock us out cold  
Winds shriek like drunken females  
On a hen night, last bit of fun,  
Till he breaks her heart in a text or an email  
She can deal with the bastard son  
  
We've got a knife in our hearts and a fork in the road  
We see a light in the dark but it's fading like hope  
I'll make a promise just to break it for the sake of it  
We think that we're honest but truth is what we make it to be  
  
Well a stitch in time saves nine, that's fine  
But we've all been proper stitched up this time  
It's a right old mess at a grand old time  
Right and left, in front and behind  
It's Sunday, Sunday, another bloody Sunday  
Just a day till another bloody Monday  
Morning, yawning, boring, snoring  
In front of the boss when you just got a warning  
  
We've got a knife in our hearts and a fork in the road  
We see a light in the dark but it's fading like hope  
I'll fall in love with you and love, you can fall in love with me  
Just so there's someone else to blame when it all falls down  
When it all falls down, down, down  
When it all falls down, down  
  
So let's get some fire in our hearts,  
And a yellow brick road  
I'm getting bored of the dark,  
We could turn the lights on, you know  
I'll make a promise and I'll keep it for the sake of it  
We could tell the truth for once, see just how we take to it  
We could walk in forests and climb up every tree  
We'll build our house upon the sand, every day in the sea  
I'll fall in love with you and love, you can fall in love with me  
Just so there's somebody else  
Just so there's somebody else  
Just so there's somebody else

"
Modern Talking,No Face No Name No Number,/m/modern+talking/no+face+no+name+no+number_20094753.html,"Love is like the ocean, burning in devotion  
When you go, go, go, oh no  
Feel my heart is burning, when the night is turning  
I will go, go, go, oh no  
  
Baby I will love you  
Every night and day  
Baby I will kiss you  
But I have to say  
  
No face, no name, no number  
Your love is like a thunder  
I'm dancing on a fire, burning in my heart  
No face, no name, no number  
Oh girl I'm not a hunter  
Your love is like desire, burning in my soul  
No face, no name, no number  
Oh love is like a thunder  
Oh love is like the heaven, it's so hard to find  
No face, no name, no number  
Girl I'm not a hunter  
Your love is like a river, flowing in my mind  
  
Feel your dreams are flying, dreams are never dying  
I don't go, go, go, oh no  
You're eyes tells a story, baby oh don't worry  
When you go, go, go, oh no  
Baby cause I love you  
Forever and a day  
Baby I will kiss you but I have to say

"
Josh Groban,Happy In My Heartache,/j/josh+groban/happy+in+my+heartache_21052490.html,"Coffee is on the table, and I  
Just can't seem to wake up this aching heart of mine  
One more day without you and I'll be fine  
I know I'm good for waiting but waiting wasted time  
  
Oh and I, I don't take it lightly,  
The trouble that I've gone through, to get you to know who I am  
Oh and I, I can't find a reason to be happy in this heartache  
'Cause I should know better than that  
I'm better than that  
  
Wicked winds are blowing through the halls  
These old familiar faces are clinging to the walls  
I know its cold but I can't feel at all  
And I know these walls are crumbling  
And I won't stay to watch them fall  
  
Oh and I, I don't take it lightly,  
The trouble that I've gone through, to get you to know who I am  
Oh and I, I can't find a reason to be happy in my heartache  
'Cause I should know better than that  
  
But I can't stop loving you  
I don't know what to do  
To keep holding on  
  
Oh and I, I don't take it lightly,  
The trouble that I've gone through, I've given you all that I am  
Oh and I, I can't find a reason to be happy in my heartache  
'Cause I should know better than that  
Oh I'm better than that

"
Xiu Xiu,Vulture Piano,/x/xiu+xiu/vulture+piano_20533344.html,"I'm ready to go,  
It's creeping along.  
A deep lack of guilt,  
And fool's sense of love.  
You can say it's nothing,  
You can claim there's no-one to hide.  
You could be respectable and keep it to yourself,  
Cause we know that she was the best that you've had.  
Yes I know, she was the best that you've had.  
Greased and unclean,  
A hiss laid by God.  
A duped bridle hole,  
And a boyhood slipping in Blood.  
You can say it's nothing,  
You can claim there's no-one to hide.  
You could be respectable and keep it to yourself at least,  
Cause we know that she was the best that you've had.  
Yes I know, she was the best that you've had.  
V you L T you are E - P I A N O!!  
You can say it's nothing,  
You can claim there's no-one to hide.  
You could be respectable and keep it to yourself at least,  
Cause we know that she was the best that you've had.  
Yes I know, she was the best that you've had.  
  

"
Cat Stevens,Novim's Nightmare,/c/cat+stevens/novims+nightmare_20028180.html,"Once I had a dream, that worried me  
Like a drunken guillotine  
Lingering just above my head  
Why, why, why, why?  
Why was I born ""The Nine""  
Cursed repeatedly  
Who would know if I should die.  
  
No one needed me  
Doo doo doo doo doo  
Dark and empty was the place to which I'd come  
Cold and silent was the house my name was on  
Nine rooms and a tomb in every one  
  
S'dark and empty was the place to which I'd come  
All at once my bones began to change  
I was tall and young again,  
Sweet as rain falling on the snow  
Who, who, who, who?  
Who is he, who am I, and  
What laid in between?  
  
How can I say goodbye? No one let me in  
Can't see no need for Nine no more  
Now it's too late to open the door.

"
Fatboy Slim,Good Morning Britain (Aztec Camera),/f/fatboy+slim/good+morning+britain+aztec+camera_20671043.html,"Jock's got a vote in Parochia  
Ten long years and he's still got her  
Paying tax and and doing stir  
Worry about it later.  
And the wind blows hot and the wind blows cold  
But it blows us good so we've been told  
Music's food 'til the art-biz folds  
Let them all eat culture.  
  
Chorus:  
The past is steeped in shame,  
But tomorrow's fair game,  
For a life that's fit for living  
Good morning Britain.  
  
Twenty years and a loaded gun  
Funerals, fear and the war ain't won  
Paddy's just a figure of fun  
It lightens up the danger.  
And a corporal sneers at a catholic boy  
And he eyes his gun like a rich man's toy  
He's killing more than celtic joy  
Death is not a stranger.  
  
Taffy's time's gonna come one day  
It's a loud sweet voice and it won't give way  
A house is not a holiday  
Your sons are leaving home Neil.  
In the hills and the valleys and far away  
You can hear the song of democracy  
The echo of eternity  
With a Rak-a-Rak-a feel.  
  
Chorus  
  
From the Tyne to where to the Thames does flow  
My English brothers and sisters know  
It's not a case of where you go  
It's race and creed and colour.  
From the police cell to the deep dark grave  
On the underground's just a stop away  
Don't be too black, don't be too gay  
Just get a little duller.  
  
But in this green and pleasant land,  
Where I make my home, I make my stand  
Make it cool just to be a man,  
A uniform's a traitor.  
Love is international  
And if you stand or if you fall,  
Just let them know you gave your all,  
Worry about it later.  
  
Chorus

"
Radiohead,Everything In Its Right Place,/r/radiohead/everything+in+its+right+place_20113265.html,"Everything  
Everything  
Everything  
Everything  
  
In its right place  
In its right place  
In its right place  
In its right place  
  
Yesterday I woke up sucking on a lemon  
Yesterday I woke up sucking on a lemon  
Yesterday I woke up sucking on a lemon  
Yesterday I woke up sucking on a lemon  
  
Everything  
Everything  
Everything  
  
In its right place  
In its right place  
In its right place  
Right place  
  
There are two colors in my head  
There are two colors in my head  
What is that you tried to say  
What is that you tried to say  
  
Tried to say  
Tried to say  
Tried to say  
Tried to say  
Tried to say  
  
Everything  
Everything  
Everything

"
Nazareth,Talkin' 'bout Love,/n/nazareth/talkin+bout+love_20098523.html,"You got lines guaranteed to please  
You got stories you got boyfriends to tease  
Money to burn  
You got everythin' you need  
Clever girl, never girl  
  
Talkin' 'bout love  
  
Rio de Janeiro on your daddy's card  
Party invitations you don't find it hard  
Lovers to burn  
Matches in your book  
Cruiser girl, user girl  
  
Talkin' 'bout love, talkin' 'bout love  
Talkin' 'bout you and me  
Talkin' 'bout love, talkin' 'bout love  
  
That's what you get  
When your heart's on fire for me  
That's what you get  
When your love's for hire  
  
Penthouse suite  
Dance and never stop  
What's the matter  
Don't 'cha want to be on top  
Nothin' to learn  
Everythin' to lose  
Lover girl, cover girl.

"
Freestyle,Pimpin,/f/freestyle/pimpin_20632440.html,"I was born broke  
I be dam if I will ie that way  
I love my momma  
Can't deny that phase  
Every night I pray for a rap record deal  
Man, even some times twise I say  
Lord save me take me away from hell  
14 to 9 and I've been sellin ''yay'' for years  
Y we had a house and couldn't keep it  
Y I got more pink slips than victoria secret  
Y I gotta rob  
Y my pappi aint got a job  
Y I aint gradguate  
Y throught school I aint have a date  
Y I hade to masterbate

"
